DATA rows=2995777 orders=1261 riders=3518 bundles=284650 load_sec=2.84584
DUAL lower=5640.8270619852 sec=5.987899361
INITIAL cost=795800757.50941 artificial=34 sec=6.111892095
BEST it=1 cost=748989303.32824 artificial=32 nodes=10001 sec=6.524052813
BEST it=2 cost=678772182.93238 artificial=29 nodes=20002 sec=6.936519898
BEST it=3 cost=561743671.21407 artificial=24 nodes=21139 sec=6.942628088
BEST it=4 cost=538337956.52596 artificial=23 nodes=21324 sec=7.071674674
BEST it=5 cost=468120854.1878 artificial=20 nodes=25253 sec=7.083478029
BEST it=6 cost=444715092.69673 artificial=19 nodes=35254 sec=7.194830014
BEST it=8 cost=421309397.43575 artificial=18 nodes=55256 sec=7.499035331
BEST it=9 cost=397903722.20386 artificial=17 nodes=65257 sec=7.555879605
BEST it=10 cost=374498049.74571 artificial=16 nodes=75258 sec=7.68100681
BEST it=11 cost=351092339.04911 artificial=15 nodes=85259 sec=8.066038041
BEST it=12 cost=327686627.01971 artificial=14 nodes=95260 sec=8.126677943
BEST it=13 cost=304280918.13387 artificial=13 nodes=95854 sec=8.313425739
BEST it=14 cost=280875225.10497 artificial=12 nodes=97147 sec=8.335127275
BEST it=15 cost=257469547.02384 artificial=11 nodes=107148 sec=8.443756263
BEST it=16 cost=210658159.0945 artificial=9 nodes=117149 sec=8.490697242
BEST it=17 cost=187252464.05243 artificial=8 nodes=117350 sec=8.509663529
BEST it=18 cost=163846778.78858 artificial=7 nodes=117969 sec=8.723519461
BEST it=19 cost=140441097.79073 artificial=6 nodes=127970 sec=8.814902977
BEST it=20 cost=117035415.33559 artificial=5 nodes=128294 sec=9.250281668
BEST it=23 cost=117035410.21552 artificial=5 nodes=139396 sec=9.739966614
BEST it=24 cost=93629707.633409 artificial=4 nodes=142232 sec=9.806247504
BEST it=25 cost=70224012.77144 artificial=3 nodes=152233 sec=10.162537302
BEST it=26 cost=46818332.441593 artificial=2 nodes=162234 sec=10.542809379
BEST it=27 cost=46818298.531771 artificial=2 nodes=172235 sec=10.822635335
BEST it=28 cost=23412604.495435 artificial=1 nodes=172956 sec=10.82557447
BEST it=29 cost=6934.8287986203 artificial=0 nodes=182957 sec=11.177258683
BEST it=30 cost=6813.7773178944 artificial=0 nodes=183544 sec=11.278687214
BEST it=31 cost=6711.7825224025 artificial=0 nodes=187545 sec=11.83390876
BEST it=32 cost=6657.3000224025 artificial=0 nodes=191546 sec=11.930415768
BEST it=33 cost=6612.2059161649 artificial=0 nodes=195547 sec=12.108623579
BEST it=34 cost=6604.8726717204 artificial=0 nodes=195574 sec=12.111171412
BEST it=35 cost=6597.2659080269 artificial=0 nodes=195632 sec=12.115330185
BEST it=36 cost=6580.0343635824 artificial=0 nodes=199010 sec=12.185657799
BEST it=37 cost=6565.7294858046 artificial=0 nodes=199021 sec=12.188624703
BEST it=38 cost=6552.4344742839 artificial=0 nodes=199073 sec=12.200869358
BEST it=39 cost=6549.7310853951 artificial=0 nodes=199085 sec=12.204271719
BEST it=40 cost=6532.4408728503 artificial=0 nodes=199790 sec=12.235028708
BEST it=41 cost=6522.5810950725 artificial=0 nodes=203791 sec=12.481491689
BEST it=42 cost=6510.9205449301 artificial=0 nodes=203880 sec=12.513040324
BEST it=43 cost=6498.146733819 artificial=0 nodes=203898 sec=12.522686477
BEST it=44 cost=6491.466381155 artificial=0 nodes=203926 sec=12.52574351
BEST it=45 cost=6469.2147255975 artificial=0 nodes=204493 sec=12.592741708
BEST it=46 cost=6465.7311033753 artificial=0 nodes=204502 sec=12.595983999
BEST it=47 cost=6452.0944095331 artificial=0 nodes=204780 sec=12.624463207
BEST it=48 cost=6446.7056428665 artificial=0 nodes=204819 sec=12.628609566
BEST it=49 cost=6440.4093650887 artificial=0 nodes=205037 sec=12.65102887
BEST it=51 cost=6427.9606539776 artificial=0 nodes=205099 sec=12.656564649
BEST it=53 cost=6422.1586539776 artificial=0 nodes=205835 sec=12.690356566
BEST it=54 cost=6363.6125342482 artificial=0 nodes=205844 sec=12.692431465
BEST it=55 cost=6346.3748704644 artificial=0 nodes=209845 sec=12.737899584
BEST it=56 cost=6336.8366704644 artificial=0 nodes=209888 sec=12.740210064
BEST it=57 cost=6327.7726704644 artificial=0 nodes=209909 sec=12.751870581
